term,value,context,context value,level
@topic,Хузтæ
@author,Kazbek Byasov
@author.public,Kazbek Byasov
black,сау,,,simple
blue,цъæх,,,simple
brown,мора,,,simple
chestnut,мудхуз,,,
crimson,рæдæнг,,,normal
cyan,арвхуз,,,simple
gold,заринæ,,,normal
gray,халас,,,simple
green,кæрдæгхуз,,,simple
indigo,индиго,,,hard
khaki,хаки,,,normal
lavender,лавандæ хуз,,,hard
magenta,тар сурх,,,hard
maroon,игæрхуз,,,normal
navy blue,тар арвхуз,,,normal
orange,борбун сурх,,,simple
pink,рохснæг,,,simple
plum,цилауи хуз,,,hard
red,сурх,,,simple
silver,æвзист,,,normal
violet,фиолетон,,,simple
white,уорс,,,simple
yellow,бор,,,simple
