term,value
@topic,Цæрæгойтæ.Урунгонтæ
@author,Kazbek Byasov
butterfly,гæбæло
flea,æхсæукъæ
mantis,богомол
ladybird,хани кизгæ
water strider,water strider
sucking louse,систæ
caterpillar,æлуиз
longhorne beetle,гъæдхуар
carabus ground beetle,хуари хъæбуза
bug,гъæдисистæ
blaps beetle,жук-медляк
grave digger,хуæдмæлхуар хъæбуза
unicorn beetle,сиукъафий хъæбуза
stag beetle,хъæбуза-саг
lacewings,бæгъетцæстæ
white cabbage butterfly,къабусгахуар
acarid,гæбу
bug tell-tale,гъæдисистæ-салдат
mosquito,саскъæ
bark beetle,цъархуар
small tortoiseshell,хæмпæли гæбæло
forest caterpillar hunter,æсмаггæнагæ хъæбуза
grasshopper,цъæрæхснæг
mole-cricket,дзæхæрахуар
centipede,берæкъах золкъæ
moth,румпæг
ant,мулдзуг
fly,биндзæ
gadfly,галбиндзæ
wasp,дидинбиндзæ
zygaenidae,пестрянкæ
bee,мудибиндзæ
locust,саринцха
cricket,цъæрцъæрагæ
glowworm,æрттевæг хъæндел
horsefly,хъæрæубиндзæ
pine moth,нæзий циллебийæг
dragonfly,туасæг
cockroach,таракан
termite,термит
aphid,зайæгойти систæ
bumblebee,гъæддаг мудибиндзæ
