term,value
@topic,Reptiles
@author,Kazbek Byasov
asp,аспид
monitor lizard,варан
tartar sand boa,хорискæсæйнаг æлвасхелагæ
weather loach misgurnus,тæлфой кæсалгæ
adder,боргъос хелагæ
tadpole,утъир
great crested newt,сæрвасæнхуз тритон
viper,гюрза
toad,гъуæрддун хæпсæ
cobra,кобрæ
crocodile,кæфхъундар
frog,хæпсæ
python,питон
steppe viper,будуйрон гадюкæ
eft,тритон
grig,донхелагæ
anaconda,æлвасхелагæ
phrynocephalus mystaceus,тумбулсæр гъосой
chameleon,хамелеон
tortoise,уæртгун хæпсæ
gloydius,щитомордник
lizard,æнкъуæлхæ
